type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,Switch,transition
practice,0.0,0,897.0,1,"(1, 0)",001,761.0,3,"(2, 3)",,rare
practice,1.0,1,857.0,0,"(0, 1)",001,532.0,3,"(3, 2)",1.0,common
practice,2.0,0,189.0,1,"(0, 1)",001,452.0,3,"(3, 2)",1.0,rare
practice,3.0,0,265.0,1,"(1, 0)",001,490.0,5,"(4, 5)",0.0,common
practice,4.0,0,261.0,1,"(0, 1)",001,450.0,2,"(2, 3)",0.0,rare
practice,5.0,0,149.0,1,"(1, 0)",001,148.0,3,"(3, 2)",0.0,rare
practice,6.0,0,158.0,0,"(1, 0)",001,347.0,3,"(3, 2)",1.0,common
practice,7.0,1,167.0,1,"(0, 1)",001,381.0,4,"(4, 5)",1.0,common
practice,8.0,1,312.0,1,"(0, 1)",001,274.0,5,"(4, 5)",0.0,common
practice,9.0,1,372.0,1,"(0, 1)",001,844.0,5,"(4, 5)",0.0,common
practice,10.0,0,240.0,0,"(0, 1)",001,226.0,2,"(3, 2)",1.0,common
practice,11.0,1,78.0,0,"(1, 0)",001,123.0,2,"(2, 3)",0.0,common
practice,12.0,0,230.0,1,"(1, 0)",001,209.0,5,"(5, 4)",1.0,common
practice,13.0,1,356.0,1,"(0, 1)",001,272.0,5,"(5, 4)",0.0,common
practice,14.0,0,646.0,0,"(0, 1)",001,433.0,3,"(2, 3)",1.0,common
practice,15.0,0,431.0,1,"(1, 0)",001,409.0,4,"(4, 5)",1.0,common
practice,16.0,0,314.0,1,"(1, 0)",001,514.0,5,"(5, 4)",0.0,common
practice,17.0,0,542.0,0,"(0, 1)",001,481.0,2,"(3, 2)",1.0,common
practice,18.0,0,605.0,0,"(1, 0)",001,353.0,4,"(4, 5)",0.0,rare
practice,19.0,0,389.0,0,"(1, 0)",001,306.0,3,"(3, 2)",0.0,common
task,0.0,0,392.0,0,"(0, 1)",001,564.0,3,"(3, 2)",,common
task,1.0,0,580.0,0,"(0, 1)",001,664.0,4,"(5, 4)",0.0,rare
task,2.0,1,382.0,0,"(1, 0)",001,575.0,3,"(3, 2)",0.0,common
task,3.0,0,510.0,0,"(1, 0)",001,1096.0,5,"(5, 4)",0.0,rare
task,4.0,0,745.0,0,"(1, 0)",001,1218.0,2,"(2, 3)",0.0,common
task,5.0,1,956.0,0,"(0, 1)",001,688.0,5,"(4, 5)",0.0,rare
task,6.0,0,563.0,0,"(1, 0)",001,561.0,3,"(2, 3)",0.0,common
task,7.0,1,609.0,1,"(0, 1)",001,880.0,2,"(2, 3)",1.0,rare
task,8.0,0,907.0,0,"(0, 1)",001,575.0,2,"(2, 3)",1.0,common
task,9.0,0,605.0,1,"(0, 1)",001,794.0,5,"(4, 5)",1.0,common
task,10.0,0,658.0,0,"(0, 1)",001,791.0,3,"(2, 3)",1.0,common
task,11.0,1,762.0,1,"(1, 0)",001,826.0,5,"(5, 4)",1.0,common
task,12.0,0,578.0,1,"(1, 0)",001,607.0,5,"(5, 4)",0.0,common
task,13.0,1,450.0,1,"(1, 0)",001,464.0,4,"(4, 5)",0.0,common
task,14.0,0,595.0,1,"(0, 1)",001,439.0,4,"(4, 5)",0.0,common
task,15.0,0,454.0,0,"(1, 0)",001,572.0,3,"(3, 2)",1.0,common
task,16.0,1,804.0,0,"(0, 1)",001,581.0,3,"(2, 3)",0.0,common
task,17.0,0,498.0,0,"(1, 0)",001,389.0,3,"(2, 3)",0.0,common
task,18.0,0,484.0,1,"(1, 0)",001,780.0,5,"(4, 5)",1.0,common
task,19.0,0,699.0,1,"(1, 0)",001,566.0,5,"(5, 4)",0.0,common
task,20.0,1,348.0,1,"(1, 0)",001,591.0,4,"(5, 4)",0.0,common
task,21.0,1,551.0,1,"(1, 0)",001,570.0,4,"(4, 5)",0.0,common
task,22.0,0,488.0,0,"(0, 1)",001,422.0,2,"(3, 2)",1.0,common
task,23.0,1,279.0,1,"(0, 1)",001,781.0,4,"(4, 5)",1.0,common
task,24.0,0,778.0,1,"(0, 1)",001,1212.0,4,"(5, 4)",0.0,common
task,25.0,0,534.0,1,"(1, 0)",001,864.0,2,"(2, 3)",0.0,rare
task,26.0,1,433.0,1,"(1, 0)",001,1427.0,4,"(4, 5)",0.0,common
task,27.0,-1,1735.0,1,"(1, 0)",001,,-1,"(5, 4)",0.0,common
task,28.0,1,302.0,0,"(1, 0)",001,1037.0,5,"(4, 5)",1.0,rare
task,29.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",1.0,
task,30.0,1,525.0,1,"(0, 1)",001,474.0,4,"(4, 5)",1.0,common
task,31.0,1,311.0,0,"(0, 1)",001,486.0,2,"(2, 3)",1.0,common
task,32.0,1,591.0,0,"(1, 0)",001,478.0,2,"(3, 2)",0.0,common
task,33.0,1,1072.0,1,"(0, 1)",001,841.0,4,"(5, 4)",1.0,common
task,34.0,1,858.0,0,"(0, 1)",001,954.0,4,"(4, 5)",1.0,rare
task,35.0,0,798.0,0,"(0, 1)",001,450.0,2,"(3, 2)",0.0,common
task,36.0,1,665.0,0,"(0, 1)",001,855.0,2,"(3, 2)",0.0,common
task,37.0,0,455.0,0,"(0, 1)",001,1056.0,3,"(3, 2)",0.0,common
task,38.0,0,537.0,1,"(1, 0)",001,411.0,5,"(4, 5)",1.0,common
task,39.0,0,274.0,0,"(0, 1)",001,779.0,3,"(3, 2)",1.0,common
task,40.0,1,526.0,1,"(0, 1)",001,716.0,4,"(4, 5)",1.0,common
task,41.0,1,554.0,1,"(0, 1)",001,559.0,4,"(5, 4)",0.0,common
task,42.0,1,737.0,1,"(1, 0)",001,563.0,4,"(4, 5)",0.0,common
task,43.0,1,421.0,1,"(0, 1)",001,719.0,4,"(5, 4)",0.0,common
task,44.0,1,734.0,1,"(1, 0)",001,553.0,4,"(4, 5)",0.0,common
task,45.0,1,844.0,1,"(0, 1)",001,437.0,4,"(4, 5)",0.0,common
task,46.0,0,417.0,0,"(0, 1)",001,666.0,2,"(2, 3)",1.0,common
task,47.0,1,671.0,1,"(1, 0)",001,794.0,2,"(3, 2)",1.0,rare
task,48.0,0,492.0,1,"(0, 1)",001,531.0,4,"(5, 4)",0.0,common
task,49.0,0,347.0,0,"(0, 1)",001,840.0,2,"(3, 2)",1.0,common
task,50.0,1,467.0,0,"(0, 1)",001,381.0,3,"(3, 2)",0.0,common
task,51.0,0,1077.0,0,"(1, 0)",001,429.0,3,"(2, 3)",0.0,common
task,52.0,1,414.0,1,"(1, 0)",001,665.0,2,"(2, 3)",1.0,rare
task,53.0,1,433.0,1,"(1, 0)",001,1030.0,4,"(5, 4)",0.0,common
task,54.0,0,610.0,1,"(0, 1)",001,1342.0,2,"(3, 2)",0.0,rare
task,55.0,1,839.0,1,"(0, 1)",001,979.0,4,"(5, 4)",0.0,common
task,56.0,1,628.0,1,"(1, 0)",001,509.0,4,"(5, 4)",0.0,common
task,57.0,0,452.0,1,"(0, 1)",001,501.0,4,"(4, 5)",0.0,common
task,58.0,1,483.0,1,"(1, 0)",001,640.0,4,"(5, 4)",0.0,common
task,59.0,1,509.0,1,"(0, 1)",001,606.0,4,"(4, 5)",0.0,common
task,60.0,0,516.0,1,"(0, 1)",001,935.0,4,"(5, 4)",0.0,common
task,61.0,0,522.0,1,"(0, 1)",001,951.0,4,"(5, 4)",0.0,common
task,62.0,0,674.0,1,"(0, 1)",001,630.0,5,"(4, 5)",0.0,common
task,63.0,0,606.0,0,"(0, 1)",001,687.0,4,"(5, 4)",1.0,rare
task,64.0,1,532.0,1,"(1, 0)",001,683.0,5,"(4, 5)",1.0,common
task,65.0,1,291.0,0,"(1, 0)",001,1076.0,2,"(2, 3)",1.0,common
task,66.0,0,682.0,0,"(0, 1)",001,599.0,2,"(2, 3)",0.0,common
task,67.0,1,479.0,1,"(1, 0)",001,470.0,3,"(3, 2)",1.0,rare
task,68.0,0,533.0,0,"(1, 0)",001,530.0,3,"(3, 2)",1.0,common
task,69.0,0,458.0,0,"(1, 0)",001,522.0,3,"(2, 3)",0.0,common
task,70.0,0,502.0,0,"(1, 0)",001,677.0,2,"(3, 2)",0.0,common
task,71.0,1,472.0,1,"(0, 1)",001,640.0,4,"(4, 5)",1.0,common
task,72.0,1,521.0,1,"(1, 0)",001,434.0,5,"(5, 4)",0.0,common
task,73.0,0,557.0,1,"(1, 0)",001,475.0,5,"(4, 5)",0.0,common
task,74.0,1,471.0,1,"(1, 0)",001,741.0,4,"(5, 4)",0.0,common
task,75.0,0,503.0,1,"(1, 0)",001,1130.0,2,"(3, 2)",0.0,rare
task,76.0,1,698.0,1,"(1, 0)",001,803.0,4,"(4, 5)",0.0,common
task,77.0,1,497.0,1,"(1, 0)",001,674.0,4,"(4, 5)",0.0,common
task,78.0,1,559.0,1,"(0, 1)",001,733.0,4,"(5, 4)",0.0,common
task,79.0,1,514.0,1,"(1, 0)",001,419.0,4,"(4, 5)",0.0,common
task,80.0,0,734.0,0,"(0, 1)",001,401.0,3,"(3, 2)",1.0,common
task,81.0,1,607.0,1,"(0, 1)",001,616.0,4,"(4, 5)",1.0,common
task,82.0,1,814.0,1,"(0, 1)",001,631.0,4,"(5, 4)",0.0,common
task,83.0,1,556.0,1,"(0, 1)",001,1127.0,2,"(3, 2)",0.0,rare
task,84.0,1,705.0,0,"(0, 1)",001,620.0,2,"(3, 2)",1.0,common
task,85.0,0,413.0,1,"(0, 1)",001,487.0,2,"(2, 3)",1.0,rare
task,86.0,1,776.0,1,"(0, 1)",001,604.0,4,"(5, 4)",0.0,common
task,87.0,1,485.0,0,"(1, 0)",001,574.0,4,"(5, 4)",1.0,rare
task,88.0,1,1161.0,1,"(0, 1)",001,550.0,3,"(2, 3)",1.0,rare
task,89.0,1,488.0,1,"(1, 0)",001,464.0,4,"(5, 4)",0.0,common
task,90.0,0,474.0,1,"(0, 1)",001,619.0,3,"(2, 3)",0.0,rare
task,91.0,0,395.0,0,"(0, 1)",001,676.0,2,"(2, 3)",1.0,common
task,92.0,1,509.0,1,"(1, 0)",001,367.0,4,"(5, 4)",1.0,common
task,93.0,1,446.0,1,"(0, 1)",001,427.0,4,"(5, 4)",0.0,common
task,94.0,1,364.0,0,"(1, 0)",001,637.0,4,"(4, 5)",1.0,rare
task,95.0,1,506.0,1,"(1, 0)",001,551.0,4,"(4, 5)",1.0,common
task,96.0,1,323.0,0,"(1, 0)",001,833.0,2,"(3, 2)",1.0,common
task,97.0,0,441.0,0,"(0, 1)",001,585.0,2,"(2, 3)",0.0,common
task,98.0,0,532.0,0,"(0, 1)",001,486.0,3,"(2, 3)",0.0,common
task,99.0,1,404.0,1,"(1, 0)",001,710.0,4,"(4, 5)",1.0,common
task,100.0,0,499.0,1,"(1, 0)",001,922.0,4,"(4, 5)",0.0,common
task,101.0,1,396.0,1,"(0, 1)",001,591.0,4,"(5, 4)",0.0,common
task,102.0,1,544.0,1,"(1, 0)",001,507.0,4,"(5, 4)",0.0,common
task,103.0,1,460.0,1,"(0, 1)",001,505.0,4,"(4, 5)",0.0,common
task,104.0,0,547.0,1,"(1, 0)",001,939.0,4,"(4, 5)",0.0,common
task,105.0,1,715.0,1,"(1, 0)",001,696.0,5,"(4, 5)",0.0,common
task,106.0,1,915.0,1,"(0, 1)",001,731.0,5,"(4, 5)",0.0,common
task,107.0,1,579.0,1,"(1, 0)",001,445.0,4,"(4, 5)",0.0,common
task,108.0,1,485.0,1,"(1, 0)",001,577.0,3,"(2, 3)",0.0,rare
task,109.0,1,308.0,0,"(0, 1)",001,826.0,5,"(4, 5)",1.0,rare
task,110.0,0,437.0,1,"(1, 0)",001,871.0,2,"(2, 3)",1.0,rare
task,111.0,1,502.0,1,"(1, 0)",001,992.0,4,"(5, 4)",0.0,common
task,112.0,1,605.0,0,"(0, 1)",001,923.0,2,"(2, 3)",1.0,common
task,113.0,1,866.0,0,"(0, 1)",001,1096.0,3,"(3, 2)",0.0,common
task,114.0,0,1484.0,1,"(0, 1)",001,1064.0,2,"(2, 3)",1.0,rare
task,115.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",1.0,
task,116.0,1,457.0,1,"(1, 0)",001,697.0,4,"(5, 4)",1.0,common
task,117.0,0,499.0,1,"(1, 0)",001,1145.0,2,"(2, 3)",0.0,rare
task,118.0,1,452.0,1,"(1, 0)",001,823.0,2,"(3, 2)",0.0,rare
task,119.0,0,580.0,1,"(1, 0)",001,591.0,4,"(4, 5)",0.0,common
task,120.0,0,397.0,1,"(1, 0)",001,300.0,5,"(4, 5)",0.0,common
task,121.0,1,516.0,0,"(0, 1)",001,413.0,2,"(2, 3)",1.0,common
task,122.0,0,483.0,0,"(1, 0)",001,494.0,3,"(3, 2)",0.0,common
task,123.0,1,559.0,1,"(1, 0)",001,436.0,2,"(3, 2)",1.0,rare
task,124.0,1,458.0,1,"(1, 0)",001,478.0,4,"(5, 4)",0.0,common
task,125.0,1,521.0,1,"(0, 1)",001,644.0,3,"(3, 2)",0.0,rare
task,126.0,0,650.0,1,"(0, 1)",001,529.0,4,"(4, 5)",0.0,common
task,127.0,1,438.0,1,"(0, 1)",001,490.0,4,"(5, 4)",0.0,common
task,128.0,1,508.0,1,"(0, 1)",001,661.0,4,"(5, 4)",0.0,common
task,129.0,0,607.0,1,"(0, 1)",001,883.0,4,"(4, 5)",0.0,common
task,130.0,1,1282.0,1,"(0, 1)",001,1061.0,4,"(5, 4)",0.0,common
task,131.0,1,473.0,1,"(1, 0)",001,732.0,4,"(5, 4)",0.0,common
task,132.0,1,711.0,1,"(0, 1)",001,849.0,2,"(3, 2)",0.0,rare
task,133.0,0,584.0,0,"(1, 0)",001,506.0,2,"(2, 3)",1.0,common
task,134.0,0,542.0,0,"(0, 1)",001,599.0,2,"(3, 2)",0.0,common
task,135.0,1,432.0,1,"(1, 0)",001,668.0,4,"(5, 4)",1.0,common
task,136.0,1,546.0,1,"(1, 0)",001,581.0,4,"(4, 5)",0.0,common
task,137.0,1,451.0,1,"(0, 1)",001,479.0,4,"(4, 5)",0.0,common
task,138.0,1,540.0,1,"(0, 1)",001,860.0,3,"(2, 3)",0.0,rare
task,139.0,1,477.0,1,"(1, 0)",001,555.0,4,"(5, 4)",0.0,common
task,140.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",1.0,
task,141.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,142.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,143.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,144.0,1,285.0,0,"(0, 1)",001,829.0,5,"(4, 5)",1.0,rare
task,145.0,0,1740.0,0,"(1, 0)",001,550.0,2,"(2, 3)",0.0,common
task,146.0,0,1375.0,0,"(0, 1)",001,357.0,3,"(3, 2)",0.0,common
task,147.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",1.0,
task,148.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,149.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,150.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,151.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,152.0,0,182.0,0,"(0, 1)",001,458.0,3,"(2, 3)",1.0,common
task,153.0,0,110.0,0,"(1, 0)",001,370.0,3,"(2, 3)",0.0,common
task,154.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",1.0,
task,155.0,1,218.0,1,"(1, 0)",001,637.0,2,"(2, 3)",1.0,rare
task,156.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",1.0,
task,157.0,1,175.0,0,"(0, 1)",001,273.0,3,"(3, 2)",1.0,common
task,158.0,0,253.0,1,"(1, 0)",001,699.0,4,"(4, 5)",1.0,common
task,159.0,0,270.0,0,"(1, 0)",001,511.0,3,"(3, 2)",1.0,common
task,160.0,0,219.0,1,"(1, 0)",001,365.0,5,"(5, 4)",1.0,common
task,161.0,0,100.0,0,"(0, 1)",001,233.0,5,"(4, 5)",1.0,rare
task,162.0,0,194.0,0,"(0, 1)",001,310.0,5,"(4, 5)",0.0,rare
task,163.0,0,181.0,0,"(1, 0)",001,288.0,3,"(3, 2)",0.0,common
task,164.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",1.0,
task,165.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,166.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,167.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,168.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,169.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,170.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,171.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,172.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,173.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,174.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,175.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,176.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,177.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,178.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,179.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,180.0,0,317.0,0,"(1, 0)",001,395.0,2,"(2, 3)",1.0,common
task,181.0,1,249.0,0,"(0, 1)",001,409.0,2,"(3, 2)",0.0,common
task,182.0,0,246.0,0,"(1, 0)",001,452.0,2,"(2, 3)",0.0,common
task,183.0,0,214.0,1,"(0, 1)",001,459.0,3,"(3, 2)",1.0,rare
task,184.0,1,175.0,1,"(1, 0)",001,473.0,3,"(2, 3)",0.0,rare
task,185.0,0,237.0,0,"(1, 0)",001,327.0,3,"(3, 2)",1.0,common
task,186.0,0,362.0,0,"(1, 0)",001,507.0,4,"(4, 5)",0.0,rare
task,187.0,1,329.0,1,"(1, 0)",001,398.0,4,"(5, 4)",1.0,common
task,188.0,0,318.0,0,"(0, 1)",001,274.0,5,"(4, 5)",1.0,rare
task,189.0,0,234.0,0,"(0, 1)",001,334.0,5,"(4, 5)",0.0,rare
task,190.0,1,319.0,1,"(1, 0)",001,403.0,4,"(5, 4)",1.0,common
task,191.0,0,250.0,1,"(1, 0)",001,336.0,5,"(4, 5)",0.0,common
task,192.0,1,263.0,1,"(0, 1)",001,286.0,5,"(5, 4)",0.0,common
